Parent Object,Operation,Component Type,Component Name,API Name,Comments,Owner: Full Name,Last Modified Date
Account,Create,CustomField,(Source) Name,APTS_Source_Name__c,A field that combines the APTS Source and the Account Name to be used in the OBM RPSAccount,oscar guzman,Thu Nov 16 09:14:39 GET 2017
Account,Update,CustomField,RPS Date,RPS_Date__c,Date of last RPS Screening,Yury Yagutyan,Sun Nov 05 20:39:57 GET 2017
Account,Update,CustomField,RPS Status,RPS_Status__c, ,Yury Yagutyan,Sun Nov 05 20:39:50 GET 2017
Related A/R Transaction,Update,CustomField,SAP Posting Key,APTS_SAP_Posting_Key__c,HSF: A Value of '50' represents a Sale, while a value of '40' represents a Refund. Required for creating G/L entry in SAP,Blake Williams,Tue Nov 14 20:42:52 GET 2017
Related A/R Transaction,Create,CustomField,Tax Rate,APTS_Tax_Rate__c, ,Yury Yagutyan,Thu Nov 09 18:51:16 GET 2017
Account Location,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Attribute Value Matrix Entry,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Attribute Value Matrix,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Billing Preference,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Category Hierarchy,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Category,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Order,Create,CustomField,Email Notification,APTS_Email_Notification__c, ,Gabriel Turkadze,Wed Nov 08 22:51:22 GET 2017
Order,Create,CustomField,External Owner,APTS_External_Owner__c,Automatically set to the API user that MuleSoft uses when calling the quote services API,Abigail Potter,Mon Oct 30 20:23:24 GET 2017
Order,Create,CustomField,Primary Contact Language,APTS_Primary_Contact_Language__c,Language taken from primary contact on configuration creation,Artem Nakhapetiani,Mon Nov 13 12:08:43 GET 2017
Order,Create,CustomField,Provisioning expired,APTS_Provisioning_expired__c, ,oscar guzman,Thu Dec 21 02:58:54 GET 2017
Order,Create,CustomField,Provisioning requested,APTS_Provisioning_requested__c, ,oscar guzman,Thu Dec 21 01:54:27 GET 2017
Payment Term,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Price List Category,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Price List,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Product Attribute Group Member,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Product Attribute Group,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Product Attribute,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Product Classification,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Product Group Member,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Product Option Component,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Product Option Group,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Product Option Price,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Product Translation,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Thu Nov 23 22:01:48 GET 2017
Contact,Create,CustomField,Billing Notifications Enabled,APTS_Billing_Notifications_Enabled__c,Field indicating whether notifications should be sent for this contact,Artem Nakhapetiani,Thu Dec 07 20:44:58 GET 2017
Country,Create,CustomField,Country External Id,Country_External_Id__c,Country Code-Language,Honeywell,Fri Nov 03 18:27:23 GET 2017
Product,Create,CustomField,Tax Good Service Code,APTS_Tax_Good_Service_Code__c,Goods and Service Code, or GSC, passed to Sovos in the goodSrvCd request parameter,Artem Nakhapetiani,Wed Nov 01 11:03:57 GET 2017
Product,Create,CustomField,Load ID,Load_ID__c, ,Yury Yagutyan,Mon Dec 11 20:34:50 GET 2017
User,Create,CustomField,Account Email Notification,APTS_HBTRR_Account_Email_Notification__c,Created for the Conga Email Notifications.,Artem Nakhapetiani,Tue Nov 21 19:49:16 GET 2017
User,Create,CustomField,Language,APTS_Language__c,This field is populated from the LanguageLocaleKey field for workflow rule to be able reference language,Artem Nakhapetiani,Mon Dec 04 10:41:11 GET 2017
null,Create,ApexTrigger,APTS_HBTRR_PaymentMethodTrigger, , ,Tengo Lebanidze,Wed Dec 20 17:02:29 GET 2017
null,Create,ApexTrigger,APTS_PriceListItemTrigger, , ,Yury Yagutyan,Mon Dec 25 23:14:10 GET 2017
null,Create,ReportType,null,PaymentReconciliation, ,oscar guzman,Mon Dec 18 21:12:33 GET 2017
