Parent Object,Operation,Component Type,Component Name,API Name,Comments,Owner: Full Name,Last Modified Date
null,Create,WorkflowFieldUpdate,Order Provisioning started,Apttus_Config2__Order__c.APTS_Order_Provisioning_started, ,oscar guzman,Thu Dec 21 01:57:55 GET 2017
null,Update,WorkflowRule,Account.RPS-AccountChange,Account.RPS-AccountChange,CALL VC RPS Service When Source = LCBS AND Billing fields change or RPS Status = Pending,oscar guzman,Wed Dec 20 23:00:40 GET 2017
null,Create,WorkflowRule,Apttus_Billing__Invoice__c.APTS HBTRR Process Invoice - Generated,Apttus_Billing__Invoice__c.APTS HBTRR Process Invoice - Generated,When invoice is generated email should be sent to customer - please see criteria,Abigail Potter,Thu Nov 16 01:29:33 GET 2017
null,Create,WorkflowRule,Apttus_Billing__Invoice__c.APTS HBTRR Process Invoice - Payment Failed,Apttus_Billing__Invoice__c.APTS HBTRR Process Invoice - Payment Failed, ,Abigail Potter,Thu Nov 16 00:57:51 GET 2017
null,Update,WorkflowRule,Apttus_Billing__Invoice__c.APTS LCBS GL Sync Rule,Apttus_Billing__Invoice__c.APTS LCBS GL Sync Rule, ,oscar guzman,Fri Dec 15 20:10:46 GET 2017
null,Create,WorkflowRule,Apttus_Billing__Invoice__c.LCBS - Invoice Generated,Apttus_Billing__Invoice__c.LCBS - Invoice Generated,Created by Conga Professional Services.,conga conga,Thu Nov 16 04:10:09 GET 2017
null,Create,WorkflowRule,Apttus_Billing__Invoice__c.LCBS - Payment Declined,Apttus_Billing__Invoice__c.LCBS - Payment Declined,Created by Conga Professional Services.,conga conga,Tue Nov 28 23:07:47 GET 2017
null,Create,WorkflowRule,Apttus_Config2__Order__c.APTS HBTRR Process Order - Activated,Apttus_Config2__Order__c.APTS HBTRR Process Order - Activated,When Order with type is activated Conga should send email,Abigail Potter,Thu Nov 16 00:54:22 GET 2017
null,Update,WorkflowRule,Apttus_Config2__Order__c.APTS LCBS Provisioning Rule,Apttus_Config2__Order__c.APTS LCBS Provisioning Rule,Send all pending orders (new and renewals) to LCBS for provisioning,Blake Williams,Thu Nov 02 20:43:41 GET 2017
null,Create,WorkflowRule,Apttus_Config2__Order__c.LCBS - Subscription Activation Notification,Apttus_Config2__Order__c.LCBS - Subscription Activation Notification,Created by Conga Professional Services.,conga conga,Tue Nov 28 23:07:51 GET 2017
null,Create,WorkflowRule,User.LCBS Payment Method Expiration,User.LCBS Payment Method Expiration,Created by Conga Professional Services.,conga conga,Fri Dec 01 21:49:26 GET 2017
null,Create,WorkflowRule,User.LCBS Price Change Notification,User.LCBS Price Change Notification,Created by Conga Professional Services.,conga conga,Fri Dec 01 21:59:36 GET 2017
null,Update,Layout,APTS_HBTRR_Financial_Operation_Log__c-APTS HBTRR Financial Operation Log Layout, , ,Tengo Lebanidze,Mon Oct 30 16:53:37 GET 2017
null,Update,Layout,APTS_Routing_Merchant_ID__c-Routing Merchant ID Layout, , ,Dale Pepin,Tue Nov 07 21:38:22 GET 2017
null,Create,Layout,Account-EES Account Page Layout, , ,Abigail Potter,Thu Jan 04 19:35:36 GET 2018
null,Update,Layout,Apttus_Billing__InvoiceLineItemTaxBreakup__c-Invoice Line Item Tax Breakup Layout, , ,Artem Nakhapetiani,Sun Nov 05 10:12:56 GET 2017
null,Update,Layout,Apttus_Billing__InvoiceLineItem__c-Invoice Line Item Layout, , ,Artem Nakhapetiani,Tue Dec 26 17:30:53 GET 2017
null,Update,Layout,Apttus_Billing__InvoiceRunResult__c-Invoice Run Result Layout, , ,Tengo Lebanidze,Fri Dec 08 16:51:28 GET 2017
null,Update,Layout,Apttus_Billing__RelatedARTransaction2__c-Related A%2FR Transaction Layout, , ,Yury Yagutyan,Fri Dec 01 11:29:36 GET 2017
null,Update,Layout,Apttus_Config2__AccountLocation__c-Account Location Layout, , ,Artem Nakhapetiani,Mon Nov 06 15:30:26 GET 2017
null,Update,Layout,Apttus_Config2__AssetLineItem__c-Asset Line Item Layout, , ,Artem Nakhapetiani,Tue Dec 26 17:27:42 GET 2017
null,Update,Layout,Apttus_Config2__AttributeValueMatrix__c-Attribute Value Matrix Layout, , ,Gabriel Turkadze,Mon Dec 18 23:31:37 GET 2017
null,Update,Layout,Apttus_Config2__OrderLineItem__c-Order Line Item Layout, , ,Artem Nakhapetiani,Tue Dec 26 17:26:33 GET 2017
null,Update,Layout,Apttus_Config2__PriceListItem__c-Price List Item Layout, , ,Artem Nakhapetiani,Fri Dec 22 19:03:09 GET 2017
null,Update,Layout,Apttus_Config2__ProductConfiguration__c-Product Configuration Layout, , ,Artem Nakhapetiani,Mon Nov 06 15:25:20 GET 2017
null,Update,Layout,Apttus_Proposal__Proposal__c-RFP Layout, , ,Artem Nakhapetiani,Mon Nov 13 12:07:21 GET 2017
null,Update,Layout,Company_Code__c-Company Code Layout, , ,Yury Yagutyan,Thu Nov 09 18:16:19 GET 2017
null,Update,Layout,Contact-EES AMER Contact Page Layout, , ,Artem Nakhapetiani,Thu Dec 07 20:44:58 GET 2017
null,Update,Layout,Contact-SE Contact Layout, , ,Artem Nakhapetiani,Thu Dec 07 20:44:58 GET 2017
null,Update,Layout,Country__c-Country Layout, , ,Honeywell,Fri Nov 03 18:27:24 GET 2017
null,Update,Layout,Product2-Apttus Product Layout, , ,Yury Yagutyan,Mon Dec 11 20:34:50 GET 2017
null,Update,Layout,Product2-Product Layout, , ,Gabriel Turkadze,Tue Dec 12 10:30:28 GET 2017
null,Update,Layout,Region__c-Region Layout, , ,Dale Pepin,Mon Nov 06 21:56:02 GET 2017
null,Update,Layout,Remit_To_Link__c-Remit To Link Layout, , ,Dale Pepin,Thu Nov 09 21:54:39 GET 2017
